test_type,date,experiment_name,sample_name,batch_sample_number,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,1,31,13.578,12.228,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,2,24,14.536,12.969,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,3,22,13.405,12.072,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,4,19,14.646,13.019,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,5,33,15.324,13.955,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,6,27,15.492,14.084,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,7,24,13.969,12.821,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,8,23,16.584,14.953,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,9,19,17.324,15.548,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,10,29,13.815,12.962,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,11,27,15.166,14.116,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,12,22,13.878,12.960,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,13,16,17.208,15.850,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,14,28,15.232,13.809,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,15,24,13.393,12.292,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,16,19,13.257,12.163,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,17,19,16.270,14.617,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,18,21,15.196,14.048,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,19,30,13.919,12.984,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,20,18,15.124,13.999,2020-05-24,-
LL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,21,18,15.712,14.512,2020-05-24,-
