test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,1,1,13.549,12.616,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,2,2,13.003,12.168,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_29,1,3,3,15.843,14.611,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,1,4,13.686,12.925,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,2,5,13.067,12.384,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_30,2,3,6,13.464,12.736,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,1,7,13.093,12.472,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,2,8,15.069,14.266,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_31,3,3,9,13.094,12.498,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,1,10,14.321,13.606,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,2,11,12.331,11.798,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_32,4,3,12,15.035,14.249,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,1,13,13.905,13.103,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,2,14,11.820,11.277,2020-05-24,-
PL,2021-01-28,Quickcrete_Cu_Casselman,mix_33,5,3,15,12.804,12.150,2020-05-24,-
