test_type,date,experiment_name,sample_name,batch_sample_number,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,1,5,33,9.608,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,1,6,31,7.952,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,1,7,26,8.509,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,1,8,18,8.275,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-23,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
