date,experiment_name,sample_name,replication,batch_sample_number,tin_tare_set,tin_number,tin_w_wet_sample,tin_w_OD_sample,comments
2021-03-06,oversizeAlims,fireborn-porcelain,1,1,2021-03-04,44,2.677,2.671,-
2021-03-06,oversizeAlims,fireborn-porcelain,2,2,2021-03-04,45,2.891,2.886,-
2021-03-06,oversizeAlims,fireborn-porcelain,3,3,2021-03-04,46,3.566,3.557,-
