date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-03-06,oversizeAlims,fireborn-porcelain,1,1,9.965,-
2021-03-06,oversizeAlims,fireborn-porcelain,2,2,10.032,-
2021-03-06,oversizeAlims,fireborn-porcelain,3,3,10.028,-
