date,experiment_name,sample_name,replication,batch_sample_number,protocol_ID,comments
2021-03-06,oversizeAlims,fireborn-porcelain,1,1,1,-
2021-03-06,oversizeAlims,fireborn-porcelain,2,2,1,-
2021-03-06,oversizeAlims,fireborn-porcelain,3,3,1,-
