date,experiment_name,sample_name,replication,batch_sample_number,protocol_ID,comments
2021-03-06,oversizeALims,Casselman_clay,1,1,1,-
2021-03-06,oversizeALims,Casselman_clay,2,2,1,-
2021-03-06,oversizeALims,Casselman_clay,3,3,1,-
