date,experiment_name,protocol_ID,blank_replication,beaker_tare_set,beaker_number,beaker_mass_w_OD_sample,comments
2021-03-06,oversizeALims,1,1,2021-01-15,49,48.887,-
2021-03-06,oversizeALims,1,2,2021-01-15,50,50.614,-
2021-03-06,oversizeALims,1,3,2021-01-15,51,50.122,-
2021-03-06,oversizeALims,1,4,2021-01-15,52,50.228,-
