date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-03-06,oversizeALims,Casselman_clay,1,1,9.939,-
2021-03-06,oversizeALims,Casselman_clay,2,2,10.021,-
2021-03-06,oversizeALims,Casselman_clay,3,3,10.023,-
