test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,1,59,19.814,19.265,2020-05-24,-
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,2,60,22.346,21.542,2020-05-24,-
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,3,61,22.886,21.994,2020-05-24,-
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,1,70,19.360,18.772,2020-05-24,-
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,2,71,19.782,19.116,2020-05-24,-
PL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,3,72,20.547,19.821,2020-05-24,-
