test_type,date,experiment_name,sample_name,batch_sample_number,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,7,35,14.346,13.351,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,8,25,14.825,13.712,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,9,23,14.866,13.749,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_32,1,10,22,17.300,15.828,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,11,30,15.248,13.809,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,12,26,14.855,13.489,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,13,21,16.099,14.507,2020-05-24,-
LL,2021-02-06,Quickcrete_Cu_Casselman,mix_33,2,14,16,20.859,18.382,2020-05-24,-
