test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_13,1,1,37,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_13,1,2,38,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_13,1,3,39,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_14,2,1,40,9.277,9.022,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_14,2,2,41,9.082,8.843,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_14,2,3,42,11.18,10.644,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_15,3,1,43,12.299,11.823,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_15,3,2,44,13.568,12.951,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_15,3,3,45,12.111,11.645,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_16,4,1,46,12.599,12.06,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_16,4,2,47,17.165,16.845,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_16,4,3,48,16.897,16.582,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_17,5,1,49,17.294,16.876,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_17,5,2,50,17.946,17.477,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_17,5,3,51,17.36,16.956,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_18,6,1,52,19.136,18.47,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_18,6,2,53,18.943,18.348,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_18,6,3,54,17.673,17.207,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_19,7,1,55,17.988,17.546,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_19,7,2,56,19.372,18.76,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_19,7,3,57,18.225,17.776,2020-05-24,-
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_20,8,1,58,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_20,8,2,59,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_20,8,3,60,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_21,9,1,61,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_21,9,2,62,-,-,2020-05-24,could not be rolled out
PL,2021-01-10,Quickcrete_Cu_Casselman,mix_21,9,3,63,-,-,2020-05-24,could not be rolled out
