expt_mix_num,test_type,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare,comments
40,LL,35,15.829,13.315,7.249,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
40,LL,31,14.202,12.122,7.182,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
40,LL,23,14.852,12.566,7.25,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
40,LL,21,16.306,13.518,7.165,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
40,LL,,,,,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
41,LL,35,15.829,13.315,7.249,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
41,LL,31,14.202,12.122,7.182,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
41,LL,23,14.852,12.566,7.25,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
41,LL,21,16.306,13.518,7.165,all the same sample. Have to replicate so the zero pct sand data point shows up properly in the facets
41,LL,,,,,
26,LL,28,14.628,13.889,7.162,
26,LL,25,14.672,13.885,7.231,
26,LL,20,15.371,14.466,7.192,
26,LL,17,14.185,13.399,7.115,
27,LL,35,14.848,13.954,7.266,
27,LL,23,17.848,16.57,7.25,
27,LL,21,15.997,14.927,7.281,
27,LL,17,18.772,17.309,7.066,
28,LL,32,19.718,18.122,7.184,
28,LL,24,16.873,15.609,7.221,
28,LL,20,19.144,17.556,7.181,
28,LL,15,18.744,17.17,7.091,
29,LL,28,16.074,14.788,7.248,
29,LL,23,15.794,14.532,7.264,
29,LL,20,17.199,15.709,7.223,
30,LL,35,15.237,13.981,7.198,
30,LL,31,16.67,15.161,7.162,
30,LL,23,17.329,15.699,7.213,
30,LL,19,17.403,15.728,7.234,
31,LL,30,13.92,12.218,7.162,
31,LL,26,15.974,13.737,7.231,
31,LL,21,15.781,13.57,7.192,
31,LL,20,15.399,13.227,7.115,
32,LL,30,14.281,12.869,7.266,
32,LL,17,16.113,14.305,7.25,
32,LL,24,14.579,13.091,7.281,
32,LL,18,16.037,14.193,7.066,
33,LL,34,14.728,13.629,7.184,
33,LL,25,15.082,13.91,7.221,
33,LL,21,15.651,14.374,7.181,
33,LL,19,17.107,15.585,7.091,
34,LL,27,14.91,13.949,7.248,
34,LL,24,14.65,13.713,7.264,
34,LL,20,16.855,15.617,7.223,
35,LL,32,16.079,15.056,7.198,
35,LL,26,18.105,16.836,7.162,
35,LL,21,14.009,13.212,7.213,
35,LL,13,14.275,13.436,7.234,
36,LL,,,,7.249,"LL cannot be measured, soil slides in cup"
36,LL,,,,7.182,"LL cannot be measured, soil slides in cup"
36,LL,,,,7.25,"LL cannot be measured, soil slides in cup"
36,LL,,,,7.165,"LL cannot be measured, soil slides in cup"
