date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments,protocol_ID
2020-06-21,oversizeAlims,Quickcrete_untouched,1,1,19.325,-,11
2020-06-21,oversizeAlims,Quickcrete_high_Cu,1,2,27.194,-,11
2020-06-21,oversizeAlims,Quickcrete_low_Cu,1,3,25.256,-,11
2020-06-21,oversizeAlims,Quickcrete_washed,1,4,-,-,11
