date,experiment_name,sample_name,replication,batch_sample_number,protocol_ID,comments
2020-06-21,oversizeAlims,Quickcrete_untouched,1,1,11,-
2020-06-21,oversizeAlims,Quickcrete_high_Cu,1,2,11,-
2020-06-21,oversizeAlims,Quickcrete_low_Cu,1,3,11,-
