date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,6350,0,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,4750,0.602,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,4000,1.879,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,3360,1.874,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,2000,3.361,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,1000,5.173,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,500,8.589,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,250,14.853,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,150,17.39,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,53,18.357,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,6350,0,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,4750,0,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,4000,0,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,3360,0,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,2000,0.075,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,1000,7.825,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,500,13.407,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,250,20.944,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,150,26.257,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,53,27,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,6350,0,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,4750,0,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,4000,0,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,3360,0,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,2000,0.009,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,1000,0.374,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,500,9.887,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,250,24.52,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,150,25.096,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,53,25.113,-
