date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,bouyoucos_cylinder_number,Gs,beaker_tare_set,microns,beaker_number,beaker_mass_w_OD_sample,comments
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,1,2.7,2020-06-01,20,11,19.746,-
2020-06-21,oversizeAlims,11,Quickcrete_untouched,1,1,1,2.7,2020-06-01,2,12,19.741,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,2,2.7,2020-06-01,20,13,19.742,-
2020-06-21,oversizeAlims,11,Quickcrete_high_Cu,1,2,2,2.7,2020-06-01,2,14,19.741,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,3,2.7,2020-06-01,20,15,19.747,-
2020-06-21,oversizeAlims,11,Quickcrete_low_Cu,1,3,3,2.7,2020-06-01,2,16,19.745,-
