date,experiment_name,protocol_ID,blank_replication,beaker_tare_set,beaker_number,beaker_mass_w_OD_sample,comments
2020-06-21,oversizeAlims,11,1,2020-06-01,21,19.737,-
2020-06-21,oversizeAlims,11,2,2020-06-01,22,8.426,-
